DataId,MeterCode,TransactionId,TransactionDateTime,Amount,UserNumber,PaymentMean,PaidDuration,ElementKey,TransactionYear,TransactionMonth,Vendor
33168643,6037002,53063778,1/2/2015 18:21,0.5,1,Credit Card,900,9461,2015,1,
33180276,12052002,53075426,1/2/2015 12:58,5,1,Credit Card,7200,35845,2015,1,
33185896,17117004,53081046,1/2/2015 10:22,1.2,1,COINS,3000,51494,2015,1,
33185762,7065002,53080912,1/2/2015 18:03,4.76,1,Credit Card,6900,1234,2015,1,
33176858,12043002,53072007,1/2/2015 19:10,1.99,1,Credit Card,3000,13213,2015,1,
33173976,12050002,53069124,1/2/2015 13:54,2.75,1,Credit Card,4200,35846,2015,1,
33180268,12052002,53075418,1/2/2015 11:24,5,1,Credit Card,7200,35845,2015,1,
33169564,7064002,53064699,1/2/2015 8:28,1.75,1,COINS,2700,1234,2015,1,
33185937,17117004,53081087,1/2/2015 15:03,4,1,Credit Card,9600,51494,2015,1,
33180261,12052002,53075411,1/2/2015 10:54,5,1,Credit Card,7200,35845,2015,1,
33162212,6021002,53057326,1/2/2015 11:53,7,1,Credit Card,7200,32266,2015,1,
33172328,7069002,53067463,1/2/2015 12:06,5,1,Credit Card,7200,24406,2015,1,
33168634,6037002,53063769,1/2/2015 16:46,3.75,1,Credit Card,5400,9461,2015,1,
33169610,7064002,53064745,1/2/2015 16:07,2.5,1,Credit Card,3600,1234,2015,1,
33185718,7065002,53080868,1/2/2015 13:24,1.75,1,Credit Card,2700,1234,2015,1,
33176800,12043002,53071949,1/2/2015 12:06,2,1,Credit Card,3000,13213,2015,1,
33180305,12052002,53075455,1/2/2015 16:32,1.25,1,Credit Card,1800,35845,2015,1,
33173944,12050002,53069092,1/2/2015 8:46,3.75,1,Credit Card,5400,35846,2015,1,
33168593,6037002,53063728,1/2/2015 11:55,0.5,1,Credit Card,900,9461,2015,1,
33172324,7069002,53067459,1/2/2015 11:58,0.75,1,Credit Card,1200,24406,2015,1,
33173973,12050002,53069121,1/2/2015 13:16,2.5,1,COINS,3600,35846,2015,1,
33185953,17117004,53081103,1/2/2015 17:00,1.45,1,Credit Card,3600,51494,2015,1,
33180289,12052002,53075439,1/2/2015 14:11,1.25,1,Credit Card,1800,35845,2015,1,
33176812,12043002,53071961,1/2/2015 13:40,2.5,1,Credit Card,3600,13213,2015,1,
33162270,6021002,53057384,1/2/2015 18:05,6.56,1,Credit Card,6900,32266,2015,1,
33172315,7069002,53067450,1/2/2015 10:25,3.75,1,Credit Card,5400,24406,2015,1,
33173958,12050002,53069106,1/2/2015 11:44,2.75,1,Credit Card,4200,35846,2015,1,
33185727,7065002,53080877,1/2/2015 14:06,2.5,1,Credit Card,3600,1234,2015,1,
